i,k,AvgTime
1,1,4.92e-06
1,2,1.188e-05
1,3,1.956e-05
1,4,5.074e-05
1,5,0.00014366
1,6,0.0005953
1,7,0.00221694
1,8,0.00754072
1,9,0.0301378
1,10,0.115057
2,2,1.338e-05
2,3,2.496e-05
2,4,7.122e-05
2,5,0.00021436
2,6,0.00098426
2,7,0.00323152
2,8,0.0114625
2,9,0.0430376
2,10,0.179236
3,3,2.35e-05
3,4,6.95e-05
3,5,0.0002242
3,6,0.00084384
3,7,0.00314746
3,8,0.0120566
3,9,0.0486478
3,10,0.20215
4,4,7.358e-05
4,5,0.00024474
4,6,0.00094314
4,7,0.0034464
4,8,0.0133369
4,9,0.0524362
4,10,0.22156
5,5,0.00026738
5,6,0.00091138
5,7,0.00359766
5,8,0.0141866
5,9,0.056334
5,10,0.241043
6,6,0.00092474
6,7,0.00389074
6,8,0.0141904
6,9,0.0580426
6,10,0.249716
7,7,0.0039319
7,8,0.0145148
7,9,0.0607673
7,10,0.239117
8,8,0.014932
8,9,0.0602324
8,10,0.241235
9,9,0.0627712
9,10,0.252903
10,10,0.25371
